A037n_PN2d_00003-5	reltype=overlap	['四', '日', 'し', '続伸']	[JSP]東京株式市場の株価が四日、大幅に続伸した。	['8', '9', '13', '14']
A037n_PN2d_00003-7	reltype=overlap	['三', '危機', '起こる']	市場では「これで『金融の三月危機』が起こる懸念も薄れた」とホッと一息つく一方、「不良債権の抜本的な処理が進まない限り、本格的な株高にはつながらない」と、政府の次なる対策を催促する声もある。	['10', '12', '15']
A037n_PN2d_00003-7	reltype=overlap	['三', '危機', '起こる', '懸念', '薄れ']	市場では「これで『金融の三月危機』が起こる懸念も薄れた」とホッと一息つく一方、「不良債権の抜本的な処理が進まない限り、本格的な株高にはつながらない」と、政府の次なる対策を催促する声もある。	['10', '12', '15', '16', '18']
A037n_PN2d_00003-7	reltype=overlap	['三', '危機', '起こる', '懸念', '薄れ', 'つく']	市場では「これで『金融の三月危機』が起こる懸念も薄れた」とホッと一息つく一方、「不良債権の抜本的な処理が進まない限り、本格的な株高にはつながらない」と、政府の次なる対策を催促する声もある。	['10', '12', '15', '16', '18', '24']
A037n_PN2d_00003-7	reltype=overlap	['三', '危機', '起こる', '懸念', '薄れ', 'つく', '一方', 'ある', '声', 'する', '催促']	市場では「これで『金融の三月危機』が起こる懸念も薄れた」とホッと一息つく一方、「不良債権の抜本的な処理が進まない限り、本格的な株高にはつながらない」と、政府の次なる対策を催促する声もある。	['10', '12', '15', '16', '18', '24', '25', '57', '58', '59', '61']
A037n_PN2d_00003-7	reltype=overlap	['三', '危機', '起こる', '懸念', '薄れ', 'つく', '一方', 'ある']	市場では「これで『金融の三月危機』が起こる懸念も薄れた」とホッと一息つく一方、「不良債権の抜本的な処理が進まない限り、本格的な株高にはつながらない」と、政府の次なる対策を催促する声もある。	['10', '12', '15', '16', '18', '24', '25', '61']
A037n_PN2d_00003-8	reltype=overlap	['一', '日', 'し', '交錯']	期待と不安が交錯した一日を追った。	['5', '6', '8', '9']
A037n_PN2d_00003-13	reltype=before	['前週', '終値', '比べ']	前週末終値に比べ、二七七円九〇銭高。	['1', '3', '5']
A037n_PN2d_00003-14	reltype=before	['前週', '終値', '比べ']	東証一部全体の値動きを示す東証株価指数（ＴＯＰＩＸ）は前週末終値に比べ二四・九四ポイント高を示した。	['16', '18', '20']
A037n_PN2d_00003-14	reltype=before	['前週', '終値', '比べ', '示し']	東証一部全体の値動きを示す東証株価指数（ＴＯＰＩＸ）は前週末終値に比べ二四・九四ポイント高を示した。	['16', '18', '20', '29']
A037n_PN2d_00003-17	reltype=overlap	['週末', '加わっ']	ただ、週末、佐藤工業の経営破綻という材料が加わった。	['3', '14']
A037n_PN2d_00003-22	reltype=after	['前週', '後半', 'し', '受け']	[JSP]空売り規制を受け、株式市場は前週の後半、三日続伸していたことが買いに拍車をかける。	['5', '10', '12', '17']
A037n_PN2d_00003-22	reltype=overlap	['前週', '後半', 'し', '続伸']	[JSP]空売り規制を受け、株式市場は前週の後半、三日続伸していたことが買いに拍車をかける。	['10', '12', '16', '17']
A037n_PN2d_00003-22	reltype=before	['前週', '後半', 'し', 'こと', 'かける']	[JSP]空売り規制を受け、株式市場は前週の後半、三日続伸していたことが買いに拍車をかける。	['10', '12', '17', '21', '27']
A037n_PN2d_00003-22	reltype=after	['三', '日', 'し', '受け']	[JSP]空売り規制を受け、株式市場は前週の後半、三日続伸していたことが買いに拍車をかける。	['5', '14', '15', '17']
A037n_PN2d_00003-22	reltype=before	['三', '日', 'し', 'こと', 'かける']	[JSP]空売り規制を受け、株式市場は前週の後半、三日続伸していたことが買いに拍車をかける。	['14', '15', '17', '21', '27']
A037n_PN2d_00003-26	reltype=after	['午後', '時', '続け', 'あっ', '場面', '戻り', '行き']	[JSP]株価は高値水準で行きつ戻りつの場面もあったが、結局取引終了の午後三時まで上げ続けた。	['7', '9', '12', '14', '22', '24', '27']
A037n_PN2d_00003-26	reltype=after	['午後', '時', '続け', 'あっ', '場面', '戻り']	[JSP]株価は高値水準で行きつ戻りつの場面もあったが、結局取引終了の午後三時まで上げ続けた。	['9', '12', '14', '22', '24', '27']
A037n_PN2d_00003-26	reltype=after	['午後', '時', '続け', 'あっ']	[JSP]株価は高値水準で行きつ戻りつの場面もあったが、結局取引終了の午後三時まで上げ続けた。	['14', '22', '24', '27']
A037n_PN2d_00003-33	reltype=after	['三', '末', 'み']	[JSP]市場は、銀行が決算を迎える三月末を一つのポイントとみている。	['10', '12', '19']
A037n_PN2d_00003-34	reltype=overlap	['四', '月', 'なっ', '出']	四月になって公的資金による金融機関への資本注入や、財政出動も含めた“デフレ対策第二弾”が出てくるかどうか。	['1', '2', '4', '31']
A037n_PN2d_00003-35	reltype=after	['新', '年度', 'にらん']	新年度をにらんだ“官製相場”が“対策催促相場”に変わる公算は大きい。	['1', '2', '4']
A037n_PN2d_00003-37	reltype=overlap	['四', '日', 'し', '記録']	[JSP]四日も株価は今年最大の上げ幅を記録したが、市場関係者は「株価が底離れしたと判断するには時期尚早。株価の方向性は決算期の三月末まで売り圧力となる株式持ち合い解消の動きがカギを握る」と指摘する。	['2', '3', '12', '13']
A037n_PN2d_00003-37	reltype=overlap	['今年', '最大', '上げ幅', 'し', '記録']	[JSP]四日も株価は今年最大の上げ幅を記録したが、市場関係者は「株価が底離れしたと判断するには時期尚早。株価の方向性は決算期の三月末まで売り圧力となる株式持ち合い解消の動きがカギを握る」と指摘する。	['7', '8', '10', '12', '13']
A037n_PN2d_00003-37	reltype=after	['三', '末', 'なる', '解消', '動き', '握る']	[JSP]四日も株価は今年最大の上げ幅を記録したが、市場関係者は「株価が底離れしたと判断するには時期尚早。株価の方向性は決算期の三月末まで売り圧力となる株式持ち合い解消の動きがカギを握る」と指摘する。	['43', '45', '50', '53', '55', '59']
A037n_PN2d_00003-39	reltype=overlap	['一', 'カ月', '上げ']	四大金融グループの株価は、みずほホールディングスを筆頭に、この一カ月で４８％強から３０％弱も軒並み値を上げており、高値を狙った銀行株売却の動きが加速する、というわけだ。	['16', '17', '32']
A037n_PN2d_00003-39	reltype=before	['一', 'カ月', '上げ', 'する', '動き', '売却', '狙っ']	四大金融グループの株価は、みずほホールディングスを筆頭に、この一カ月で４８％強から３０％弱も軒並み値を上げており、高値を狙った銀行株売却の動きが加速する、というわけだ。	['16', '17', '32', '38', '42', '44', '47']
A037n_PN2d_00003-39	reltype=before	['一', 'カ月', '上げ', 'する', '加速']	四大金融グループの株価は、みずほホールディングスを筆頭に、この一カ月で４８％強から３０％弱も軒並み値を上げており、高値を狙った銀行株売却の動きが加速する、というわけだ。	['16', '17', '32', '46', '47']
A037n_PN2d_00003-46	reltype=overlap	['四', '日', 'し', '選出']	[JSP]国連管理下のユーゴスラビア連邦コソボ自治州議会は四日、圧倒的多数で民主同盟のイブラヒム・ルゴバ議長（五七）を州大統領に選出した。	['13', '14', '35', '36']
A037n_PN2d_00003-46	reltype=overlap	['五', '七', 'し', '選出']	[JSP]国連管理下のユーゴスラビア連邦コソボ自治州議会は四日、圧倒的多数で民主同盟のイブラヒム・ルゴバ議長（五七）を州大統領に選出した。	['28', '29', '35', '36']
