A050n_PN2b_00004-2	reltype=after	'認める'	アルアクサ犯行認める	['3']
A050n_PN2b_00004-3	reltype=after	'合意'	イスラエル[JSP]停戦協議合意できず	['5']
A050n_PN2b_00004-5	reltype=after	'開か'	[JSP]イスラエルとパレスチナ自治政府の停戦に向けた最高治安当局者協議が２２日、米国のジニ特使の仲介で開かれたが、停戦条件をめぐる両者の対立は解けず、再び合意に達しないまま閉幕した。	['29']
A050n_PN2b_00004-5	reltype=after	'解け'	[JSP]イスラエルとパレスチナ自治政府の停戦に向けた最高治安当局者協議が２２日、米国のジニ特使の仲介で開かれたが、停戦条件をめぐる両者の対立は解けず、再び合意に達しないまま閉幕した。	['42']
A050n_PN2b_00004-5	reltype=after	'達し'	[JSP]イスラエルとパレスチナ自治政府の停戦に向けた最高治安当局者協議が２２日、米国のジニ特使の仲介で開かれたが、停戦条件をめぐる両者の対立は解けず、再び合意に達しないまま閉幕した。	['48']
A050n_PN2b_00004-5	reltype=after	'閉幕'	[JSP]イスラエルとパレスチナ自治政府の停戦に向けた最高治安当局者協議が２２日、米国のジニ特使の仲介で開かれたが、停戦条件をめぐる両者の対立は解けず、再び合意に達しないまま閉幕した。	['51']
A050n_PN2b_00004-6	reltype=before	'続行'	イスラエル当局者によると協議は今後も続行される見込みだ。	['11']
A050n_PN2b_00004-7	reltype=after	'前後'	[JSP]一方、協議開催と前後して同日、ヨルダン川西岸のパレスチナ自治区ジェニン北方のイスラエル軍検問所で起きた自爆テロについて、アラファト・パレスチナ自治政府議長の支持基盤であるパレスチナ解放機構（ＰＬＯ）主流派ファタハの軍事部門「アルアクサ殉教者団」が犯行を認めた。	['7']
A050n_PN2b_00004-7	reltype=after	'起き'	[JSP]一方、協議開催と前後して同日、ヨルダン川西岸のパレスチナ自治区ジェニン北方のイスラエル軍検問所で起きた自爆テロについて、アラファト・パレスチナ自治政府議長の支持基盤であるパレスチナ解放機構（ＰＬＯ）主流派ファタハの軍事部門「アルアクサ殉教者団」が犯行を認めた。	['27']
A050n_PN2b_00004-7	reltype=after	'認め'	[JSP]一方、協議開催と前後して同日、ヨルダン川西岸のパレスチナ自治区ジェニン北方のイスラエル軍検問所で起きた自爆テロについて、アラファト・パレスチナ自治政府議長の支持基盤であるパレスチナ解放機構（ＰＬＯ）主流派ファタハの軍事部門「アルアクサ殉教者団」が犯行を認めた。	['67']
A050n_PN2b_00004-8	reltype=after	'入ろう'	[JSP]イスラエル軍によると、犯人は車でイスラエル領内に入ろうとして検問所で止められ、その場で自爆テロを決行したという。	['16']
A050n_PN2b_00004-8	reltype=after	'し'	[JSP]イスラエル軍によると、犯人は車でイスラエル領内に入ろうとして検問所で止められ、その場で自爆テロを決行したという。	['18']
A050n_PN2b_00004-8	reltype=after	'止め'	[JSP]イスラエル軍によると、犯人は車でイスラエル領内に入ろうとして検問所で止められ、その場で自爆テロを決行したという。	['23']
A050n_PN2b_00004-8	reltype=after	'決行'	[JSP]イスラエル軍によると、犯人は車でイスラエル領内に入ろうとして検問所で止められ、その場で自爆テロを決行したという。	['32']
A050n_PN2b_00004-8	reltype=after	'いう'	[JSP]イスラエル軍によると、犯人は車でイスラエル領内に入ろうとして検問所で止められ、その場で自爆テロを決行したという。	['36']
A050n_PN2b_00004-9	reltype=after	'指定'	[JSP]アルアクサ殉教者団は２１日のエルサレム繁華街での自爆テロ後、米国務省から「外国テロ組織」に指定され、この事件について２２日に新たな犯行声明文を出した。	['30']
A050n_PN2b_00004-9	reltype=after	'出し'	[JSP]アルアクサ殉教者団は２１日のエルサレム繁華街での自爆テロ後、米国務省から「外国テロ組織」に指定され、この事件について２２日に新たな犯行声明文を出した。	['49']
A050n_PN2b_00004-10	reltype=after	'批判'	米国のイスラエル寄りの姿勢を強く批判し、イスラエルに対し自爆テロによる徹底抗戦を宣言する内容だ。	['9']
A050n_PN2b_00004-10	reltype=after	'宣言'	米国のイスラエル寄りの姿勢を強く批判し、イスラエルに対し自爆テロによる徹底抗戦を宣言する内容だ。	['22']
A050n_PN2b_00004-11	reltype=after	'受け'	[JSP]アラファト議長はエルサレムの事件を受けて「ただちにイスラエル市民を狙った自爆テロの停止措置をとる」と公約したばかりで、身内とも言える組織のテロ続行声明によって一段と苦しい立場に追い込まれた。	['9']
A050n_PN2b_00004-11	reltype=after	'狙っ'	[JSP]アラファト議長はエルサレムの事件を受けて「ただちにイスラエル市民を狙った自爆テロの停止措置をとる」と公約したばかりで、身内とも言える組織のテロ続行声明によって一段と苦しい立場に追い込まれた。	['16']
A050n_PN2b_00004-11	reltype=after	'とる'	[JSP]アラファト議長はエルサレムの事件を受けて「ただちにイスラエル市民を狙った自爆テロの停止措置をとる」と公約したばかりで、身内とも言える組織のテロ続行声明によって一段と苦しい立場に追い込まれた。	['24']
A050n_PN2b_00004-11	reltype=after	'公約'	[JSP]アラファト議長はエルサレムの事件を受けて「ただちにイスラエル市民を狙った自爆テロの停止措置をとる」と公約したばかりで、身内とも言える組織のテロ続行声明によって一段と苦しい立場に追い込まれた。	['27']
A050n_PN2b_00004-11	reltype=after	'追い込ま'	[JSP]アラファト議長はエルサレムの事件を受けて「ただちにイスラエル市民を狙った自爆テロの停止措置をとる」と公約したばかりで、身内とも言える組織のテロ続行声明によって一段と苦しい立場に追い込まれた。	['50']
A050n_PN2b_00004-12	reltype=after	'停止'	[JSP]米政府は２２日、来週初めにもエジプトで予定されるチェイニー副大統領とアラファト議長との会談について「（議長が）テロを停止させるという会談開催の条件を満たしていない」と難色を示し、アラファト議長の対応を改めて非難した。	['37']
A050n_PN2b_00004-12	reltype=after	'満たし'	[JSP]米政府は２２日、来週初めにもエジプトで予定されるチェイニー副大統領とアラファト議長との会談について「（議長が）テロを停止させるという会談開催の条件を満たしていない」と難色を示し、アラファト議長の対応を改めて非難した。	['47']
