A031n_PN5b_00002-3	reltype=vague	'集まれ'	集まれ[JSP]コアジサシ	['1']
A031n_PN5b_00002-6	reltype=after	'上げ'	都の下水処理施設「森ケ崎水再生センター」の上空で歌うような声を上げながら、白い海鳥が長い翼を広げて風に乗る。	['20']
A031n_PN5b_00002-6	reltype=after	'広げ'	都の下水処理施設「森ケ崎水再生センター」の上空で歌うような声を上げながら、白い海鳥が長い翼を広げて風に乗る。	['29']
A031n_PN5b_00002-6	reltype=after	'乗る'	都の下水処理施設「森ケ崎水再生センター」の上空で歌うような声を上げながら、白い海鳥が長い翼を広げて風に乗る。	['33']
A031n_PN5b_00002-8	reltype=after	'指さし'	女性が真上を指さして声を弾ませた。	['5']
A031n_PN5b_00002-8	reltype=after	'弾ま'	女性が真上を指さして声を弾ませた。	['9']
A031n_PN5b_00002-10	reltype=after	'設置'	この施設の屋上に、保護団体「リトルターン・プロジェクト」のメンバー１２人が、体長約３０センチのコアジサシそっくりの模型（デコイ）２００体を設置した。	['41']
A031n_PN5b_00002-11	reltype=after	'汗'	青空の下で汗ばみながら、砂利を掘って設置し終わると、スピーカーで鳴き声を流す。	['5']
A031n_PN5b_00002-11	reltype=after	'掘っ'	青空の下で汗ばみながら、砂利を掘って設置し終わると、スピーカーで鳴き声を流す。	['11']
A031n_PN5b_00002-11	reltype=after	'設置'	青空の下で汗ばみながら、砂利を掘って設置し終わると、スピーカーで鳴き声を流す。	['13']
A031n_PN5b_00002-11	reltype=after	'流す'	青空の下で汗ばみながら、砂利を掘って設置し終わると、スピーカーで鳴き声を流す。	['22']
A031n_PN5b_00002-12	reltype=after	'かすめ'	作業中何度もコアジサシが上をかすめた。	['11']
A031n_PN5b_00002-14	reltype=after	'なり'	[JSP]この屋上は０１年春に突然、オーストラリアや東南アジアからやってくるカモメ科のコアジサシの子育ての場となり、話題になった。	['29']
A031n_PN5b_00002-14	reltype=after	'なっ'	[JSP]この屋上は０１年春に突然、オーストラリアや東南アジアからやってくるカモメ科のコアジサシの子育ての場となり、話題になった。	['33']
A031n_PN5b_00002-16	reltype=overlap	'ある'	しかし、対岸の空港との間に餌場の干潟がある。	['14']
A031n_PN5b_00002-17	reltype=after	'減っ'	湿地や干潟、河原などが埋め立てで減った東京湾。	['10']
A031n_PN5b_00002-18	reltype=overlap	'追い詰め'	プロジェクトの増田直也代表（５１）は「鳥たちは屋上にまで追い詰められているんです」と話す。	['18']
A031n_PN5b_00002-18	reltype=after	'話す'	プロジェクトの増田直也代表（５１）は「鳥たちは屋上にまで追い詰められているんです」と話す。	['26']
A031n_PN5b_00002-19	reltype=after	'営巣'	[JSP]３年続きで営巣したが、昨年は草が茂った。	['6']
A031n_PN5b_00002-19	reltype=after	'茂っ'	[JSP]３年続きで営巣したが、昨年は草が茂った。	['15']
A031n_PN5b_00002-20	reltype=after	'刈り'	延べ４５０人で刈り、３８体のデコイを初めて置いたが、裸地を好むコアジサシに嫌われたか、巣は一つだけ。	['7']
A031n_PN5b_00002-20	reltype=after	'置い'	延べ４５０人で刈り、３８体のデコイを初めて置いたが、裸地を好むコアジサシに嫌われたか、巣は一つだけ。	['16']
A031n_PN5b_00002-20	reltype=after	'嫌わ'	延べ４５０人で刈り、３８体のデコイを初めて置いたが、裸地を好むコアジサシに嫌われたか、巣は一つだけ。	['26']
A031n_PN5b_00002-21	reltype=after	'敷き詰め'	このため、都とプロジェクトは、屋上７ヘクタールのほとんどの約６・２ヘクタールを営巣地にと川砂利やコンクリート片を敷き詰め、草が生えやすい細粒をほぼ撤去した。	['30']
A031n_PN5b_00002-21	reltype=after	'撤去'	このため、都とプロジェクトは、屋上７ヘクタールのほとんどの約６・２ヘクタールを営巣地にと川砂利やコンクリート片を敷き詰め、草が生えやすい細粒をほぼ撤去した。	['39']
A031n_PN5b_00002-22	reltype=after	'張り'	カラスよけの糸を張り、ひなのための筒型シェルターを置くなど、恒久的な営巣地にするため、あの手この手の工夫をこらす。	['5']
