A047n_PN1c_00004-13	reltype=after	['九', '考案']	応用数学を専攻するトーマス・ライトン教授と教え子のダニー・ルーイン氏らが、ネットの高速化を可能にするアルゴリズム（計算手順）を考案し、九八年のアカマイ創業につながった。	['34', '37']
A047n_PN1c_00004-17	reltype=overlap	['八', '超す']	[JSP]八六年の設立以来、ＭＩＴのＴＬＯはロケット工学、ソフトウエア、バイオなど多彩な分野で毎年百件を超す特許を獲得する特許の「量産工場」だ。	['2', '28']
A047n_PN1c_00004-17	reltype=overlap	['八', '獲得']	[JSP]八六年の設立以来、ＭＩＴのＴＬＯはロケット工学、ソフトウエア、バイオなど多彩な分野で毎年百件を超す特許を獲得する特許の「量産工場」だ。	['2', '31']
A047n_PN1c_00004-17	reltype=overlap	['毎年', '超す']	[JSP]八六年の設立以来、ＭＩＴのＴＬＯはロケット工学、ソフトウエア、バイオなど多彩な分野で毎年百件を超す特許を獲得する特許の「量産工場」だ。	['24', '28']
A047n_PN1c_00004-17	reltype=overlap	['毎年', '獲得']	[JSP]八六年の設立以来、ＭＩＴのＴＬＯはロケット工学、ソフトウエア、バイオなど多彩な分野で毎年百件を超す特許を獲得する特許の「量産工場」だ。	['24', '31']
A047n_PN1c_00004-19	reltype=overlap	['二', '膨らん']	特許ビジネスの急成長ぶりは、設立当時は三百万ドル程度だった特許使用料が二〇〇〇年度には千六百八十万ドル（約二十億円）へ膨らんだことを見ても明白だ。	['22', '41']
A047n_PN1c_00004-19	reltype=before	['二', '見']	特許ビジネスの急成長ぶりは、設立当時は三百万ドル程度だった特許使用料が二〇〇〇年度には千六百八十万ドル（約二十億円）へ膨らんだことを見ても明白だ。	['22', '45']
A047n_PN1c_00004-21	reltype=overlap	['年間', '生まれる']	教授、研究員、大学院生など一万人近い研究陣から生まれる発明は年間五百件近い。	['17', '20']
A047n_PN1c_00004-32	reltype=overlap	['９', '発売']	[JSP]ヤマハは、世界で初めてＨＤＤ（ハードディスクドライブ）を搭載したオーディオＣＤレコーダーを９月２５日発売する。	['21', '26']
A047n_PN1c_00004-35	reltype=overlap	['３', '録音']	ＨＤＤには最大３０時間録音できる。	['5', '8']
A047n_PN1c_00004-39	reltype=overlap	['２', '発売']	[JSP]伊藤園は、緑茶飲料「おーいお茶[JSP]秋旬茶」を２７日発売する。	['17', '20']
A047n_PN1c_00004-40	reltype=overlap	['今春', '摘ん']	今春、摘んだ茶葉を使用し、熟成したお茶本来のコクが楽しめるという。	['1', '3']
A047n_PN1c_00004-40	reltype=before	['今春', '使用']	今春、摘んだ茶葉を使用し、熟成したお茶本来のコクが楽しめるという。	['1', '7']
A047n_PN1c_00004-40	reltype=before	['今春', '熟成']	今春、摘んだ茶葉を使用し、熟成したお茶本来のコクが楽しめるという。	['1', '10']
A047n_PN1c_00004-40	reltype=before	['今春', '楽しめる']	今春、摘んだ茶葉を使用し、熟成したお茶本来のコクが楽しめるという。	['1', '19']
A047n_PN1c_00004-40	reltype=before	['今春', 'いう']	今春、摘んだ茶葉を使用し、熟成したお茶本来のコクが楽しめるという。	['1', '21']
A047n_PN1c_00004-46	reltype=overlap	['９', '発売']	[JSP]ツムラは、シートタイプのクリーナー「バスピカ[JSP]洗面台のふきとりシート」（８枚）を９月１０日、発売する。	['23', '29']

