A051n_PN2d_00004-4	reltype=after	['点滅', 'する', '数字', '変化']	[JSP]青い空間に点滅する数字、それは永遠に続く変化。	['5', '6', '7', '14']
A051n_PN2d_00004-6	reltype=overlap	['受け', 'さん', '数字', '語りかけ']	内外で高い評価を受けている現代美術家、宮島達男さんの数字は何を語りかけているのだろう。	['6', '15', '17', '21']
A051n_PN2d_00004-7	reltype=overlap	['注目', 'さ', 'いう']	その発想はいま、終末期医療の場でも注目されているという。	['13', '14', '19']
A051n_PN2d_00004-7	reltype=after	['いう']	その発想はいま、終末期医療の場でも注目されているという。	['19']
A051n_PN2d_00004-10	reltype=before	['スタート', 'し']	[JSP]間もなく大阪府和泉市のプロジェクトがスタートします。	['12', '13']
A051n_PN2d_00004-11	reltype=before	['使っ', 'さ', '大作', 'する', '計画']	泉北高速和泉中央駅前に建設中の「和泉市総合センター」に、発光ダイオードのデジタルカウンターを使って、数字を点滅させる大作を設置する計画です。	['25', '31', '33', '36', '37']
A051n_PN2d_00004-11	reltype=before	['点滅', 'さ', '大作', 'する', '計画']	泉北高速和泉中央駅前に建設中の「和泉市総合センター」に、発光ダイオードのデジタルカウンターを使って、数字を点滅させる大作を設置する計画です。	['30', '31', '33', '36', '37']
A051n_PN2d_00004-11	reltype=before	['設置', 'する', '計画']	泉北高速和泉中央駅前に建設中の「和泉市総合センター」に、発光ダイオードのデジタルカウンターを使って、数字を点滅させる大作を設置する計画です。	['35', '36', '37']
A051n_PN2d_00004-12	reltype=before	['設け', 'する']	[JSP]センターは図書館や生涯学習センターなどが入る施設で、建物の中央に竹林庭園が設けられ、その地面にそれぞれの時を刻む百二十個のカウンターを配置するんです。	['23', '41']
A051n_PN2d_00004-12	reltype=before	['刻む', 'カウンター', 'する']	[JSP]センターは図書館や生涯学習センターなどが入る施設で、建物の中央に竹林庭園が設けられ、その地面にそれぞれの時を刻む百二十個のカウンターを配置するんです。	['33', '38', '41']
A051n_PN2d_00004-12	reltype=before	['配置', 'する']	[JSP]センターは図書館や生涯学習センターなどが入る施設で、建物の中央に竹林庭園が設けられ、その地面にそれぞれの時を刻む百二十個のカウンターを配置するんです。	['40', '41']
A051n_PN2d_00004-13	reltype=before	['得', 'さ', '予定']	[JSP]地域住民の協力を得て完成させる予定です。	['7', '10', '12']
