A001n_PN1c_00001-5	reltype=ob	['９', '留学']	９５―９７年、中国・北京大に留学し、帰国後に双子を出産。	['1', '4']
A001n_PN1c_00001-10	reltype=overlap	['二', '呼び出し']	呼び出して注意する先生もいたが、二、三年時に担任だった池田弘子先生（７５）は違った。	['1', '11']
A001n_PN1c_00001-10	reltype=overlap	['二', '注意']	呼び出して注意する先生もいたが、二、三年時に担任だった池田弘子先生（７５）は違った。	['3', '11']
A001n_PN1c_00001-10	reltype=overlap	['三', '呼び出し']	呼び出して注意する先生もいたが、二、三年時に担任だった池田弘子先生（７５）は違った。	['1', '13']
A001n_PN1c_00001-10	reltype=overlap	['三', '注意']	呼び出して注意する先生もいたが、二、三年時に担任だった池田弘子先生（７５）は違った。	['3', '13']
A001n_PN1c_00001-10	reltype=vague	['７', '呼び出し']	呼び出して注意する先生もいたが、二、三年時に担任だった池田弘子先生（７５）は違った。	['1', '24']
A001n_PN1c_00001-10	reltype=vague	['７', '注意']	呼び出して注意する先生もいたが、二、三年時に担任だった池田弘子先生（７５）は違った。	['3', '24']
A001n_PN1c_00001-33	reltype=before	['１', '報告']	[JSP]中学校教員を対象にＮＩＥ（教育に新聞を）活動の実践例を報告し、活用に役立てる「第７回ＮＩＥ講習会」が１７日午後２時３０分から、東京・内幸町の日本プレスセンターで開催される。	['20', '35']
A001n_PN1c_00001-33	reltype=before	['１', '役立てる']	[JSP]中学校教員を対象にＮＩＥ（教育に新聞を）活動の実践例を報告し、活用に役立てる「第７回ＮＩＥ講習会」が１７日午後２時３０分から、東京・内幸町の日本プレスセンターで開催される。	['25', '35']
A001n_PN1c_00001-33	reltype=ob	['１', '開催']	[JSP]中学校教員を対象にＮＩＥ（教育に新聞を）活動の実践例を報告し、活用に役立てる「第７回ＮＩＥ講習会」が１７日午後２時３０分から、東京・内幸町の日本プレスセンターで開催される。	['35', '54']
A001n_PN1c_00001-42	reltype=overlap	['２', '取り組ん']	[JSP]不登校や高校中退などの問題に取り組んでいる田口教育研究所は２６日―３月９日の間（土、日は除く）、電話相談に応じる。	['11', '19']
A001n_PN1c_00001-42	reltype=overlap	['３', '取り組ん']	[JSP]不登校や高校中退などの問題に取り組んでいる田口教育研究所は２６日―３月９日の間（土、日は除く）、電話相談に応じる。	['11', '23']
A001n_PN1c_00001-42	reltype=overlap	['土', '取り組ん']	[JSP]不登校や高校中退などの問題に取り組んでいる田口教育研究所は２６日―３月９日の間（土、日は除く）、電話相談に応じる。	['11', '30']
A001n_PN1c_00001-42	reltype=vague	['土', '応じる']	[JSP]不登校や高校中退などの問題に取り組んでいる田口教育研究所は２６日―３月９日の間（土、日は除く）、電話相談に応じる。	['30', '40']
A001n_PN1c_00001-42	reltype=overlap	['日', '取り組ん']	[JSP]不登校や高校中退などの問題に取り組んでいる田口教育研究所は２６日―３月９日の間（土、日は除く）、電話相談に応じる。	['11', '21']
A001n_PN1c_00001-42	reltype=vague	['日', '応じる']	[JSP]不登校や高校中退などの問題に取り組んでいる田口教育研究所は２６日―３月９日の間（土、日は除く）、電話相談に応じる。	['21', '26']
A002n_PN1d_00001-26	reltype=overlap	['昨年', 'オープン']	[JSP]昨年四月にオープンした大阪市北区の大阪国際会議場（グランキューブ大阪）の来場者が二十日、百万人を突破した。	['2', '6']
A002n_PN1d_00001-26	reltype=before	['昨年', '突破']	[JSP]昨年四月にオープンした大阪市北区の大阪国際会議場（グランキューブ大阪）の来場者が二十日、百万人を突破した。	['2', '34']
A002n_PN1d_00001-26	reltype=after	['二十', 'オープン']	[JSP]昨年四月にオープンした大阪市北区の大阪国際会議場（グランキューブ大阪）の来場者が二十日、百万人を突破した。	['6', '27']
A002n_PN1d_00001-26	reltype=overlap	['二十', '突破']	[JSP]昨年四月にオープンした大阪市北区の大阪国際会議場（グランキューブ大阪）の来場者が二十日、百万人を突破した。	['27', '34']
A002n_PN1d_00001-27	reltype=overlap	['一', '上回り']	開業一年間の稼働率は当初目標を上回り、初年度決算も黒字確実で、山下和彦社長は「二年目も引き続き好調を維持したい」としている。	['2', '11']
A002n_PN1d_00001-27	reltype=before	['一', 'し']	開業一年間の稼働率は当初目標を上回り、初年度決算も黒字確実で、山下和彦社長は「二年目も引き続き好調を維持したい」としている。	['2', '34']
A002n_PN1d_00001-27	reltype=overlap	['初', '上回り']	開業一年間の稼働率は当初目標を上回り、初年度決算も黒字確実で、山下和彦社長は「二年目も引き続き好調を維持したい」としている。	['11', '13']
A002n_PN1d_00001-27	reltype=after	['二', '上回り']	開業一年間の稼働率は当初目標を上回り、初年度決算も黒字確実で、山下和彦社長は「二年目も引き続き好調を維持したい」としている。	['11', '26']
A002n_PN1d_00001-30	reltype=overlap	['今年', '上回っ']	[JSP]今年三月末までの稼働率は六二％と、当初目標の五五％を大幅に上回った。	['2', '25']
A002n_PN1d_00001-33	reltype=vague	['初', '予定']	[JSP]収支見込みも、当初は数年間の赤字が必至とみられていたが、今月三十一日に予定している初年度決算で「経常利益は数億円単位の黒字になる」（山下社長）という。	['27', '31']
A002n_PN1d_00001-33	reltype=before	['初', 'いう']	[JSP]収支見込みも、当初は数年間の赤字が必至とみられていたが、今月三十一日に予定している初年度決算で「経常利益は数億円単位の黒字になる」（山下社長）という。	['31', '53']
A003n_PN1e_00001-22	reltype=after	['二十', 'まとめ']	[JSP]帝国データバンクは二十三日、二〇〇〇年中に決算をまとめた企業の申告所得ランキングを発表した。	['6', '19']
A003n_PN1e_00001-22	reltype=overlap	['二十', '発表']	[JSP]帝国データバンクは二十三日、二〇〇〇年中に決算をまとめた企業の申告所得ランキングを発表した。	['6', '27']
A003n_PN1e_00001-22	reltype=overlap	['二', 'まとめ']	[JSP]帝国データバンクは二十三日、二〇〇〇年中に決算をまとめた企業の申告所得ランキングを発表した。	['10', '19']
A003n_PN1e_00001-22	reltype=before	['二', '発表']	[JSP]帝国データバンクは二十三日、二〇〇〇年中に決算をまとめた企業の申告所得ランキングを発表した。	['10', '27']
A003n_PN1e_00001-23	reltype=before	['前年', '減少']	前年二位のトヨタ自動車が、円高の影響で売上高と経常利益を減少させながらも、高級乗用車の販売好調に支えられ、三年ぶりに首位に返り咲いた。	['1', '20']
A003n_PN1e_00001-23	reltype=before	['前年', '支え']	前年二位のトヨタ自動車が、円高の影響で売上高と経常利益を減少させながらも、高級乗用車の販売好調に支えられ、三年ぶりに首位に返り咲いた。	['1', '33']
A003n_PN1e_00001-23	reltype=before	['前年', '返り咲い']	前年二位のトヨタ自動車が、円高の影響で売上高と経常利益を減少させながらも、高級乗用車の販売好調に支えられ、三年ぶりに首位に返り咲いた。	['1', '42']
A003n_PN1e_00001-25	reltype=before	['昨年', 'なり']	[JSP]昨年一位だったＮＴＴは、純粋持ち株会社になり百二十一位に大幅後退したが、グループ企業のＮＴＴドコモが携帯電話のインターネット接続サービス「ｉモード」の普及で五位、長距離・国際通信事業を展開するＮＴＴコミュニケーションズが十位と健闘した。	['2', '14']
