A050n_PN2b_00004-2	reltype=after	['認める']	アルアクサ犯行認める	['3']
A050n_PN2b_00004-3	reltype=after	['合意', 'でき']	イスラエル[JSP]停戦協議合意できず	['5', '6']
A050n_PN2b_00004-5	reltype=after	['開か', '解け', 'し']	[JSP]イスラエルとパレスチナ自治政府の停戦に向けた最高治安当局者協議が２２日、米国のジニ特使の仲介で開かれたが、停戦条件をめぐる両者の対立は解けず、再び合意に達しないまま閉幕した。	['29', '42', '52']
A050n_PN2b_00004-5	reltype=after	['解け', 'し']	[JSP]イスラエルとパレスチナ自治政府の停戦に向けた最高治安当局者協議が２２日、米国のジニ特使の仲介で開かれたが、停戦条件をめぐる両者の対立は解けず、再び合意に達しないまま閉幕した。	['42', '52']
A050n_PN2b_00004-5	reltype=after	['達し', 'まま', 'し']	[JSP]イスラエルとパレスチナ自治政府の停戦に向けた最高治安当局者協議が２２日、米国のジニ特使の仲介で開かれたが、停戦条件をめぐる両者の対立は解けず、再び合意に達しないまま閉幕した。	['48', '50', '52']
A050n_PN2b_00004-5	reltype=after	['閉幕', 'し']	[JSP]イスラエルとパレスチナ自治政府の停戦に向けた最高治安当局者協議が２２日、米国のジニ特使の仲介で開かれたが、停戦条件をめぐる両者の対立は解けず、再び合意に達しないまま閉幕した。	['51', '52']
A050n_PN2b_00004-6	reltype=before	['続行', 'さ', '見込み']	イスラエル当局者によると協議は今後も続行される見込みだ。	['11', '12', '14']
A050n_PN2b_00004-7	reltype=after	['前後', 'し', '起き', 'テロ', '認め']	[JSP]一方、協議開催と前後して同日、ヨルダン川西岸のパレスチナ自治区ジェニン北方のイスラエル軍検問所で起きた自爆テロについて、アラファト・パレスチナ自治政府議長の支持基盤であるパレスチナ解放機構（ＰＬＯ）主流派ファタハの軍事部門「アルアクサ殉教者団」が犯行を認めた。	['7', '8', '27', '30', '67']
A050n_PN2b_00004-7	reltype=after	['起き', 'テロ', '認め']	[JSP]一方、協議開催と前後して同日、ヨルダン川西岸のパレスチナ自治区ジェニン北方のイスラエル軍検問所で起きた自爆テロについて、アラファト・パレスチナ自治政府議長の支持基盤であるパレスチナ解放機構（ＰＬＯ）主流派ファタハの軍事部門「アルアクサ殉教者団」が犯行を認めた。	['27', '30', '67']
A050n_PN2b_00004-7	reltype=after	['認め']	[JSP]一方、協議開催と前後して同日、ヨルダン川西岸のパレスチナ自治区ジェニン北方のイスラエル軍検問所で起きた自爆テロについて、アラファト・パレスチナ自治政府議長の支持基盤であるパレスチナ解放機構（ＰＬＯ）主流派ファタハの軍事部門「アルアクサ殉教者団」が犯行を認めた。	['67']
A050n_PN2b_00004-8	reltype=after	['入ろう', 'し', '止め', 'し', 'いう']	[JSP]イスラエル軍によると、犯人は車でイスラエル領内に入ろうとして検問所で止められ、その場で自爆テロを決行したという。	['16', '18', '23', '33', '36']
